number,value,datetime_start,datetime_complete,duration,params_entry_quantile,params_min_edge_bps,params_quantile_window,params_stop_loss_atr_mult,params_take_profit_atr_mult,params_threshold_mult,params_z_threshold,state
0,3.16301488158427e-05,2025-09-02 11:07:14.711322,2025-09-02 11:07:19.974272,0 days 00:00:05.262950,0.7988937359355444,11,500,5.536392894112938,5.793990617964786,0.02818593797267479,0.3591003048009931,COMPLETE
1,0.006781760279573446,2025-09-02 11:07:19.974607,2025-09-02 11:07:24.708208,0 days 00:00:04.733601,0.8447521197106161,11,450,4.133863550801636,5.319338661249462,0.028676977762681063,0.1441335275469372,COMPLETE
2,-0.01210523638310343,2025-09-02 11:07:24.708567,2025-09-02 11:07:29.563101,0 days 00:00:04.854534,0.6977362816957484,11,350,5.138326669277372,7.618590341668648,0.06617507688394858,0.21663196712946264,COMPLETE
3,0.003325830256919176,2025-09-02 11:07:29.563405,2025-09-02 11:07:34.246704,0 days 00:00:04.683299,0.7530594959777122,7,600,5.530577820329144,7.885847964200112,0.0701343637236148,0.22513794277377006,COMPLETE
4,-0.0027401396470873355,2025-09-02 11:07:34.247178,2025-09-02 11:07:38.512739,0 days 00:00:04.265561,0.8298579735792087,10,300,5.638571757234793,6.740669088416391,0.0578632530584557,0.29371447672635964,COMPLETE
5,-0.014337059607365709,2025-09-02 11:07:38.513634,2025-09-02 11:07:43.448823,0 days 00:00:04.935189,0.6769223837556719,12,550,5.224050030825753,7.389392793194767,0.08400519630184608,0.39465661489316817,COMPLETE
6,0.0127947418034539,2025-09-02 11:07:43.449140,2025-09-02 11:07:48.558726,0 days 00:00:05.109586,0.6598514744358699,9,450,4.5205776610872155,7.087965652804687,0.06238721941320257,0.21225111384689646,COMPLETE
7,-0.004328868930346385,2025-09-02 11:07:48.559119,2025-09-02 11:07:54.146033,0 days 00:00:05.586914,0.666886621397063,5,500,4.947594371843669,7.94143307311662,0.09146133658715311,0.15349153391629836,COMPLETE
8,-0.0008041177728347248,2025-09-02 11:07:54.146404,2025-09-02 11:07:59.826676,0 days 00:00:05.680272,0.7268648014177763,10,450,4.285558846140885,7.236213684821413,0.0800712267105728,0.2734215997794606,COMPLETE
9,-0.011255689590647464,2025-09-02 11:07:59.827034,2025-09-02 11:08:05.664493,0 days 00:00:05.837459,0.7898222320984738,12,550,5.054744567469576,7.643679809116786,0.08895248904627107,0.3270591835329524,COMPLETE
10,0.006848922568504065,2025-09-02 11:08:05.664826,2025-09-02 11:08:11.039580,0 days 00:00:05.374754,0.8956390801998061,8,200,4.610102091947353,6.525171024687056,0.04427529603770204,0.10163432075324522,COMPLETE
11,0.002936491270798079,2025-09-02 11:08:11.039945,2025-09-02 11:08:17.841035,0 days 00:00:06.801090,0.8737941260349369,8,200,4.599264655211875,6.40705638017266,0.04121227443793362,0.10167372673783868,COMPLETE
12,0.0070524771873600785,2025-09-02 11:08:17.841808,2025-09-02 11:08:30.031217,0 days 00:00:12.189409,0.8944791868431126,7,200,4.564215513642648,6.710821496083594,0.04500985074794009,0.18972147945938458,COMPLETE
13,0.007921363336398892,2025-09-02 11:08:30.032071,2025-09-02 11:08:44.006148,0 days 00:00:13.974077,0.7301619662460668,6,300,4.54681924446031,6.905092579068314,0.013448434452077468,0.19077532918299453,COMPLETE
14,0.003548805593676733,2025-09-02 11:08:44.006978,2025-09-02 11:08:55.323731,0 days 00:00:11.316753,0.7180573482472602,5,300,5.970422662533479,7.062837264650667,0.015776559583653593,0.18010760488534952,COMPLETE
15,0.003275134089534042,2025-09-02 11:08:55.324075,2025-09-02 11:09:01.231573,0 days 00:00:05.907498,0.6504549873178469,6,350,4.39174877236726,6.104061481034669,0.012361088166079243,0.2442491017082613,COMPLETE
16,-0.008451077336416672,2025-09-02 11:09:01.231984,2025-09-02 11:09:07.075903,0 days 00:00:05.843919,0.7471374168174756,9,400,4.8158485173858,6.9342945971638335,0.09934911396034549,0.19722897620811564,COMPLETE
17,0.014189778655534476,2025-09-02 11:09:07.076234,2025-09-02 11:09:12.057812,0 days 00:00:04.981578,0.704602493975018,9,300,4.043352406173128,6.0144623008942775,0.05380670920063114,0.2678698217994595,COMPLETE
18,0.008996834986538938,2025-09-02 11:09:12.058193,2025-09-02 11:09:17.232454,0 days 00:00:05.174261,0.6812476014599983,9,400,4.027050745771665,5.6785220839211386,0.05648383882748226,0.29821076192846896,COMPLETE
19,-0.0034455893615386018,2025-09-02 11:09:17.232841,2025-09-02 11:09:22.976549,0 days 00:00:05.743708,0.7011912302432406,10,250,4.165308327582673,5.017638029569879,0.07006226473027789,0.2610378744815002,COMPLETE
20,0.006039364350748014,2025-09-02 11:09:22.976875,2025-09-02 11:09:28.561261,0 days 00:00:05.584386,0.6505170181752693,9,350,4.326386040799643,6.166366495288118,0.06317741744326544,0.3362421894005817,COMPLETE
21,0.009136974283749807,2025-09-02 11:09:28.561576,2025-09-02 11:09:34.649641,0 days 00:00:06.088065,0.6874836583945744,9,400,4.025592981702607,5.6922405234568005,0.052713317840178145,0.2937604127626626,COMPLETE
22,0.008933808987858175,2025-09-02 11:09:34.650178,2025-09-02 11:09:40.113362,0 days 00:00:05.463184,0.6980058087759918,8,450,4.004102793570593,5.7122124104877745,0.05089705277715666,0.2918580225317171,COMPLETE
23,-0.0009920942845541452,2025-09-02 11:09:40.113663,2025-09-02 11:09:46.009579,0 days 00:00:05.895916,0.7570085645081996,9,400,4.422076963075149,6.019374412944094,0.03466883415488673,0.23555630592041366,COMPLETE
24,-0.009899376994754865,2025-09-02 11:09:46.009883,2025-09-02 11:09:52.791953,0 days 00:00:06.782070,0.6759348290294951,10,250,4.802154647597491,5.44052239987137,0.0514516264880753,0.31840493483113275,COMPLETE
25,0.004793461181341235,2025-09-02 11:09:52.792294,2025-09-02 11:09:59.602411,0 days 00:00:06.810117,0.710547647386714,7,500,4.203194860464732,6.264464019912402,0.07653770095102772,0.2741121472996088,COMPLETE
26,0.010267138473905708,2025-09-02 11:09:59.602878,2025-09-02 11:10:06.134330,0 days 00:00:06.531452,0.6879120725928236,8,400,4.063511305769905,5.91341192148978,0.06066355108620306,0.2556775768278375,COMPLETE
27,-0.003404995009168365,2025-09-02 11:10:06.134730,2025-09-02 11:10:13.096422,0 days 00:00:06.961692,0.6632208444949821,8,350,4.742954937737142,5.9657444332797835,0.0617885989245876,0.25101099011133293,COMPLETE
28,0.00850436795375298,2025-09-02 11:10:13.096771,2025-09-02 11:10:18.891119,0 days 00:00:05.794348,0.7401397587281875,7,250,4.443949057723301,6.480495306439204,0.07082138193177859,0.21296663350429992,COMPLETE
29,-0.004021371523073542,2025-09-02 11:10:18.891515,2025-09-02 11:10:24.944125,0 days 00:00:06.052610,0.7746806124277379,8,450,4.248433486039441,5.839448824012879,0.034706907254217184,0.3587901671644787,COMPLETE
30,0.008490605795168488,2025-09-02 11:10:24.944452,2025-09-02 11:10:31.292678,0 days 00:00:06.348226,0.7697704767649959,11,500,4.120028805894067,5.388933998082958,0.07697012145005808,0.2661261726965284,COMPLETE
31,0.012297560782652399,2025-09-02 11:10:31.293033,2025-09-02 11:10:43.124366,0 days 00:00:11.831333,0.6906063146553426,9,400,4.032866138017701,5.651066944507894,0.05043273931369644,0.3153887384631827,COMPLETE
32,0.007378126454379553,2025-09-02 11:10:43.124781,2025-09-02 11:10:53.605350,0 days 00:00:10.480569,0.71196646140491,10,400,4.163898622320156,5.500352045365204,0.05845838730239436,0.31417826885974687,COMPLETE
33,-0.002652890446719212,2025-09-02 11:10:53.605759,2025-09-02 11:11:04.282265,0 days 00:00:10.676506,0.6641260838824848,9,450,4.308785970636746,5.909541568580616,0.04003112939876467,0.35313719849308967,COMPLETE
34,0.006862272400050622,2025-09-02 11:11:04.283325,2025-09-02 11:11:13.518776,0 days 00:00:09.235451,0.6904722858945078,11,350,4.078070124809339,5.192236349322126,0.047526948892023246,0.3926313883115339,COMPLETE
35,0.005847805189960122,2025-09-02 11:11:13.519102,2025-09-02 11:11:21.285349,0 days 00:00:07.766247,0.7043596773162822,8,450,4.4720500546335185,6.343755278576758,0.06667790715301491,0.21565093875123365,COMPLETE
36,-0.001831714447535935,2025-09-02 11:11:21.285683,2025-09-02 11:11:31.582543,0 days 00:00:10.296860,0.7227937155295666,10,300,5.324205635759838,5.548512585724021,0.06015167414205697,0.2379808744624033,COMPLETE
37,-0.0021020214054122033,2025-09-02 11:11:31.583046,2025-09-02 11:11:44.397613,0 days 00:00:12.814567,0.6748025458411272,9,550,4.2190367387080965,6.6556072691542125,0.02909680005917529,0.16433614593811752,COMPLETE
38,-0.0044426953451789045,2025-09-02 11:11:44.398029,2025-09-02 11:11:51.761934,0 days 00:00:07.363905,0.8150309446649471,7,500,4.711479963797625,5.226910750085872,0.05462075296801416,0.2277030738259551,COMPLETE
39,-0.008269713261857043,2025-09-02 11:11:51.762293,2025-09-02 11:11:57.765701,0 days 00:00:06.003408,0.6916623440567768,10,600,4.930132079463885,7.4141489756182875,0.06600698267843355,0.2817739418945313,COMPLETE
40,0.007674683536085215,2025-09-02 11:11:57.766183,2025-09-02 11:12:03.350882,0 days 00:00:05.584699,0.7370845565656201,8,350,4.33236650648181,6.236266399680008,0.05023381256988144,0.253179167745583,COMPLETE
41,0.008790425942377533,2025-09-02 11:12:03.351250,2025-09-02 11:12:07.993875,0 days 00:00:04.642625,0.6845538971544881,9,400,4.066416868213035,5.618708530150585,0.05349271429854306,0.3039707071421576,COMPLETE
42,0.011426272253730248,2025-09-02 11:12:07.994333,2025-09-02 11:12:13.162929,0 days 00:00:05.168596,0.6625443427201356,9,450,4.0191885583610105,5.803831249740349,0.05650313425608078,0.337061012410394,COMPLETE
43,0.011437251013397109,2025-09-02 11:12:13.163265,2025-09-02 11:12:19.051944,0 days 00:00:05.888679,0.6631854588306557,10,450,4.105681576121737,5.789363163465085,0.07321581095818562,0.33929433005112164,COMPLETE
44,0.0068047020133120825,2025-09-02 11:12:19.052252,2025-09-02 11:12:24.237324,0 days 00:00:05.185072,0.6612885223002343,11,500,4.141835523239116,6.066009956919827,0.07532900349396164,0.3817288464063209,COMPLETE
45,0.0016256396038647203,2025-09-02 11:12:24.237686,2025-09-02 11:12:29.211846,0 days 00:00:04.974160,0.651853338337589,10,450,4.271971813862129,5.766365640541761,0.08204872148297378,0.3420687031024,COMPLETE
46,-0.00011552948964784255,2025-09-02 11:12:29.212194,2025-09-02 11:12:33.703479,0 days 00:00:04.491285,0.6684596014697526,11,550,4.155151576534605,7.7628396459053,0.06685980258137263,0.3761764808164475,COMPLETE
47,-0.0021903553728848907,2025-09-02 11:12:33.703862,2025-09-02 11:12:38.817631,0 days 00:00:05.113769,0.6727021152978507,10,450,4.494440094037939,7.230654050124015,0.08591478031384035,0.32452961262021807,COMPLETE
48,0.0008978490651940908,2025-09-02 11:12:38.817934,2025-09-02 11:12:43.871943,0 days 00:00:05.054009,0.8474446844563711,9,500,4.363824998273031,5.266680351161643,0.07196091123063067,0.13021714134611248,COMPLETE
49,-0.0038627149691505824,2025-09-02 11:12:43.872375,2025-09-02 11:12:48.876570,0 days 00:00:05.004195,0.6577530787881641,12,450,4.2371146686978305,5.850582070960408,0.04643401646271593,0.367408235549125,COMPLETE
