window,train_start,train_end,test_end,train_bars,test_bars,diag_H,ic_bar,hit_bar,sharpe,real_pnl,n_trades,max_dd
1,2024-12-01 02:45:00,2025-01-12 02:40:00,2025-01-19 02:40:00,12096,2016,10,0.24293890225279904,0.47690655209452204,-0.028618403927825466,-213.20333887521065,12,2.875769251237707
2,2024-12-08 02:45:00,2025-01-19 02:40:00,2025-01-26 02:40:00,12096,2016,10,0.1606444036309701,0.5059031877213696,0.029915178723212026,691.8818687656745,12,2.9168686265656527
3,2024-12-15 02:45:00,2025-01-26 02:40:00,2025-02-02 02:40:00,12096,2016,10,0.005550656954505498,0.5151187904967602,-0.020497134982673162,-140.35392754011096,3,1.8538002207578619
4,2024-12-22 02:45:00,2025-02-02 02:40:00,2025-02-09 02:40:00,12096,2016,10,-0.0046244928474291165,0.49974709155285785,0.0,0.0,0,0.0
5,2024-12-29 02:45:00,2025-02-09 02:40:00,2025-02-16 02:40:00,12096,2016,10,0.11041428664349863,0.5007587253414264,0.0,0.0,0,0.0
6,2025-01-05 02:45:00,2025-02-16 02:40:00,2025-02-23 02:40:00,12096,2016,10,0.004256665766644045,0.5190839694656488,-0.026845274996195583,-87.31772533968075,1,0.873177253396807
7,2025-01-12 02:45:00,2025-02-23 02:40:00,2025-03-02 02:40:00,12096,2016,10,-0.014264396240531598,0.5176579925650557,-0.10611461952728035,-2175.765322042318,73,21.841182823761965
8,2025-01-19 02:45:00,2025-03-02 02:40:00,2025-03-09 02:40:00,12096,2016,10,0.05767666401546659,0.4913639070875521,-0.039634859479967845,-725.6949907283627,19,7.651874848226968
9,2025-01-26 02:45:00,2025-03-09 02:40:00,2025-03-16 02:40:00,12096,2016,10,-0.1049551535145231,0.4988161010260458,-0.08737673980927675,-1544.9805753310427,61,16.033424098104156
10,2025-02-02 02:45:00,2025-03-16 02:40:00,2025-03-23 02:40:00,12096,2016,10,0.07245873640836988,0.5361659079413252,0.0,0.0,0,0.0
11,2025-02-09 02:45:00,2025-03-23 02:40:00,2025-03-30 02:40:00,12096,2016,10,0.07931679104936551,0.5078401618614061,0.0,0.0,0,0.0
12,2025-02-16 02:45:00,2025-03-30 02:40:00,2025-04-06 02:40:00,12096,2016,10,0.06802416564765325,0.5524050632911393,-0.030583338492934844,-79.66906689443013,1,0.7966906689443022
13,2025-02-23 02:45:00,2025-04-06 02:40:00,2025-04-13 02:40:00,12096,2016,10,0.1806824878410016,0.468895800933126,-0.05324294301881854,-998.7980815409807,53,11.610509137705321
14,2025-03-02 02:45:00,2025-04-13 02:40:00,2025-04-20 02:40:00,12096,2016,10,0.03142844805008988,0.4977238239757208,0.0,0.0,0,0.0
15,2025-03-09 02:45:00,2025-04-20 02:40:00,2025-04-27 02:40:00,12096,2016,10,0.04889045980647153,0.4772017489069332,-0.04144100068059143,-582.7942799829711,8,6.221468455706667
16,2025-03-16 02:45:00,2025-04-27 02:40:00,2025-05-04 02:40:00,12096,2016,10,0.02595943777859446,0.5164390490642388,0.0,0.0,0,0.0
17,2025-03-23 02:45:00,2025-05-04 02:40:00,2025-05-11 02:40:00,12096,2016,10,0.14027385016618635,0.5483055134041477,0.0,0.0,0,0.0
18,2025-03-30 02:45:00,2025-05-11 02:40:00,2025-05-18 02:40:00,12096,2016,10,0.1838410322373293,0.5078401618614061,0.0,0.0,0,0.0
19,2025-04-06 02:45:00,2025-05-18 02:40:00,2025-05-25 02:40:00,12096,2016,10,-0.051297192943132584,0.5210355987055016,-0.05692624131221106,-1189.1452762002336,20,12.49300702918239
20,2025-04-13 02:45:00,2025-05-25 02:40:00,2025-06-01 02:40:00,12096,2016,10,0.0649969911125455,0.5046070460704607,-0.05811855881510464,-305.3147877960093,5,3.1575541423589857
21,2025-04-20 02:45:00,2025-06-01 02:40:00,2025-06-08 02:40:00,12096,2016,10,-0.0016754332034112647,0.5172588832487309,0.020558063394673913,62.404368863248735,1,0.468226556990194
22,2025-04-27 02:45:00,2025-06-08 02:40:00,2025-06-15 02:40:00,12096,2016,10,0.12171973800190915,0.5300771208226221,-0.004883992543330523,-28.380297153058052,2,1.3091742842188978
23,2025-05-04 02:45:00,2025-06-15 02:40:00,2025-06-22 02:40:00,12096,2016,10,0.1807773443444252,0.531332280147446,-0.04109745540059741,-142.03293767890963,5,1.4422416944163592
24,2025-05-11 02:45:00,2025-06-22 02:40:00,2025-06-29 02:40:00,12096,2016,10,0.1410293050334289,0.5031884057971014,-0.07748571318189268,-656.0725575829031,24,7.08831820719679
25,2025-05-18 02:45:00,2025-06-29 02:40:00,2025-07-06 02:40:00,12096,2016,10,0.015396062769972872,0.5020768431983386,-0.005758163113169291,-21.97019451034993,1,0.7258226543032618
26,2025-05-25 02:45:00,2025-07-06 02:40:00,2025-07-13 02:40:00,12096,2016,10,-0.1114571968256052,0.4677819083023544,-0.10300065821304218,-1004.6438681633979,27,10.046438681634154
27,2025-06-01 02:45:00,2025-07-13 02:40:00,2025-07-20 02:40:00,12096,2016,10,0.14098590993242335,0.5397333333333333,0.006291948748037907,31.822310774230502,2,0.6850542109039013
28,2025-06-08 02:45:00,2025-07-20 02:40:00,2025-07-27 02:40:00,12096,2016,10,0.08217754797362264,0.5022761760242792,0.0,0.0,0,0.0
29,2025-06-15 02:45:00,2025-07-27 02:40:00,2025-08-03 02:40:00,12096,2016,10,0.013472824125418927,0.5123925139099645,0.0,0.0,0,0.0
30,2025-06-22 02:45:00,2025-08-03 02:40:00,2025-08-10 02:40:00,12096,2016,10,-0.020620721370136836,0.49013657056145676,0.0,0.0,0,0.0
31,2025-06-29 02:45:00,2025-08-10 02:40:00,2025-08-17 02:40:00,12096,2016,10,0.030135241592201188,0.5139338950097213,-0.04330036029090419,-408.1675748516559,25,4.3346718746940125
